Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct 
0.0791325 0.671216424 0.335592014 0.223725356 0.167793097 0.134235973 
0.079135 0.671748424 0.335857929 0.223902734 0.167926098 0.134342385 
0.0791375 0.672276794 0.336122076 0.224078836 0.168058186 0.134448049 
0.07914 0.672801461 0.336384415 0.224253714 0.168189307 0.134552907 
0.0791425 0.673322415 0.336644921 0.224427316 0.168319451 0.134657038 
0.079145 0.673839668 0.336903591 0.224599648 0.168448726 0.134760464 
0.0791475 0.674353252 0.337160435 0.22477083 0.168577117 0.134863176 
0.07915 0.674863212 0.337415467 0.224940852 0.168704627 0.134965178 
0.0791525 0.675369604 0.337668708 0.225109723 0.168831262 0.135066478 
0.079155 0.675872495 0.337920184 0.225277464 0.168957035 0.135167082 
0.0791575 0.67637197 0.338169928 0.225444102 0.169081964 0.135267006 
0.07916 0.676868124 0.338417977 0.225609507 0.169206071 0.135366263 
0.0791625 0.677361077 0.338664375 0.225773793 0.169329346 0.135464875 
0.079165 0.677850982 0.338909177 0.225936951 0.169451707 0.135562814 
0.0791675 0.678337149 0.33915245 0.226098904 0.169573256 0.135660036 
0.07917 0.678820102 0.339394001 0.22625984 0.169693956 0.135756616 
0.0791725 0.6792999 0.339633839 0.226419806 0.169813793 0.135852516 
0.079175 0.679776111 0.339872136 0.226578729 0.169932936 0.135947751 
0.0791775 0.680249721 0.340108725 0.226736463 0.170051331 0.136042456 
0.07918 0.680719483 0.340343836 0.226893231 0.170168828 0.136136475 
0.0791825 0.681186703 0.340577305 0.227048928 0.170285622 0.136229872 
0.079185 0.681651102 0.340809276 0.227203581 0.17040163 0.136322695 
0.0791875 0.682111729 0.341039891 0.227357104 0.170516854 0.13641485 
0.07919 0.68256897 0.34126887 0.227509746 0.170631202 0.136506384 
0.0791925 0.683024133 0.341496038 0.227661511 0.170744945 0.136597289 
0.079195 0.683476759 0.341721954 0.227812162 0.170858039 0.13668772 
0.0791975 0.683924625 0.34194671 0.227961536 0.170970195 0.136777573 
0.0792 0.68437047 0.342169685 0.228110293 0.171081526 0.136866608 
0.0792025 0.684814441 0.342390824 0.228258274 0.171192387 0.136955197 
0.079205 0.68525408 0.342611156 0.228404659 0.171302638 0.13704337 
0.0792075 0.685690871 0.342830328 0.228550373 0.171411669 0.137130775 
0.07921 0.686126365 0.343046846 0.228695505 0.171520316 0.137217529 
0.0792125 0.686557628 0.343262896 0.228839295 0.171628514 0.137303994 
0.079215 0.686985947 0.343478065 0.22898206 0.171735473 0.137389846 
0.0792175 0.687413398 0.343690244 0.229124435 0.171841975 0.137474846 
0.07922 0.687835903 0.343902215 0.229265509 0.171948145 0.13755967 
0.0792225 0.688256476 0.344113194 0.229405521 0.172053054 0.137643895 
0.079225 0.688675928 0.344321357 0.229545278 0.172157546 0.137727259 
0.0792275 0.689089735 0.344529478 0.229683519 0.172261785 0.137810527 
0.07923 0.68950325 0.344736089 0.229821003 0.172364571 0.137893054 
0.0792325 0.689913802 0.34494059 0.229958244 0.17246723 0.137974919 
0.079235 0.690320195 0.345145123 0.2300936 0.172569378 0.138056726 
0.0792375 0.690726784 0.345347206 0.2302288 0.17267021 0.138137495 
0.07924 0.691128033 0.34554846 0.230363214 0.172771142 0.138218015 
0.0792425 0.691528648 0.345748994 0.230496048 0.172871042 0.138298214 
0.079245 0.691926493 0.345946993 0.230629092 0.172970304 0.138377385 
0.0792475 0.692320405 0.346145235 0.230760429 0.173069369 0.138456647 
0.07925 0.692714157 0.34634118 0.230891382 0.173167165 0.138535042 
0.0792525 0.693103181 0.346536279 0.231021704 0.173265 0.138613026 
0.079255 0.693492391 0.346730571 0.231150482 0.173361847 0.13869076 
0.0792575 0.693876933 0.346922616 0.231279433 0.173458109 0.138767557 
0.07926 0.694260314 0.347114807 0.23140676 0.173554092 0.138844466 
0.0792625 0.694641412 0.347304666 0.231533961 0.173648955 0.138920391 
0.079265 0.695018777 0.347494401 0.231660068 0.173743892 0.138996172 
0.0792675 0.695395634 0.347682281 0.231785262 0.173837675 0.139071443 
0.07927 0.695768666 0.347869127 0.231910131 0.173931349 0.139146002 
0.0792725 0.696141078 0.348055202 0.23203366 0.174024205 0.139220489 
0.079275 0.696509754 0.348239427 0.232157124 0.174116444 0.139294159 
0.0792775 0.696877735 0.348423413 0.232279235 0.174208379 0.1393678 
0.07928 0.697242106 0.348605531 0.232401267 0.174299398 0.139440617 
0.0792825 0.697605702 0.348787368 0.23252197 0.1743903 0.13951341 
0.079285 0.697965838 0.34896738 0.232642443 0.174480278 0.139585388 
0.0792875 0.698325052 0.349147081 0.232761878 0.174570125 0.139657169 
0.07929 0.698681086 0.349325016 0.232880652 0.174659066 0.139728466 
0.0792925 0.699035654 0.349502607 0.232998854 0.174747865 0.139799207 
0.079295 0.699387876 0.349678504 0.233116115 0.174835786 0.139869723 
0.0792975 0.699737962 0.349853851 0.233232979 0.174923552 0.139939666 
0.0793 0.70008614 0.350027884 0.233348923 0.175010472 0.140009373 
0.0793025 0.700432334 0.35020095 0.233464433 0.175097104 0.140078525 
0.079305 0.700776446 0.350373068 0.233579074 0.175183137 0.140147426 
0.0793075 0.701118796 0.350544133 0.233693243 0.175268639 0.140215799 
0.07931 0.701458897 0.350714279 0.233806601 0.175353714 0.140283904 
0.0793125 0.701797479 0.350883458 0.233919447 0.175438272 0.140351512 
0.079315 0.702133635 0.35105164 0.234031545 0.175522373 0.14041883 
0.0793175 0.702468533 0.351218963 0.234143086 0.175606002 0.140485687 
0.07932 0.702800823 0.35138521 0.23425395 0.175689138 0.14055223 
0.0793225 0.703131998 0.351550714 0.234364207 0.175771857 0.140618352 
0.079325 0.703460629 0.351715057 0.234473862 0.175854042 0.140684131 
0.0793275 0.703787722 0.351878783 0.234582855 0.175935868 0.140749533 
0.07933 0.704113041 0.352041257 0.234691326 0.176017118 0.140814561 
0.0793325 0.70443606 0.352203249 0.234799077 0.17609807 0.140879259 
0.079335 0.704757988 0.352363897 0.234906391 0.176178402 0.140943546 
0.0793375 0.705077348 0.352524036 0.235012921 0.176258502 0.141007556 
0.07934 0.705395921 0.352683043 0.235119105 0.176337935 0.141071116 
0.0793425 0.705711679 0.35284117 0.235224436 0.176417166 0.141134455 
0.079345 0.706026975 0.352998607 0.235329518 0.176495758 0.1411973 
0.0793475 0.706339203 0.353154859 0.235433675 0.176574013 0.141259984 
0.07935 0.706651311 0.353310697 0.235537684 0.176651858 0.141322128 
0.0793525 0.706960091 0.353465217 0.235640694 0.176729144 0.141384174 
0.079355 0.70726911 0.353619477 0.235743651 0.176806211 0.141445631 
0.0793575 0.707574543 0.353772294 0.235845565 0.176882649 0.141507059 
0.07936 0.707880381 0.353925017 0.235947195 0.176958944 0.141567848 
0.0793625 0.708182783 0.354076166 0.23604829 0.177034544 0.141628603 
0.079365 0.708484278 0.354227396 0.23614851 0.177110085 0.14168881 
0.0793675 0.708784641 0.354376921 0.236248664 0.177184865 0.141748751 
0.07937 0.709081675 0.354526711 0.23634782 0.177259674 0.141808464 
0.0793725 0.70937943 0.354674673 0.236447016 0.177333652 0.141867636 
0.079375 0.709673408 0.354822599 0.236545115 0.177407755 0.141926801 
0.0793775 0.70996846 0.354969457 0.236643376 0.177480958 0.141985346 
0.07938 0.71025942 0.355115166 0.236740444 0.177554221 0.142043961 
0.0793825 0.710551678 0.355260899 0.236837804 0.177626815 0.142101887 
0.079385 0.710839925 0.355404887 0.236933883 0.177699011 0.142159968 
0.0793875 0.711127743 0.355549348 0.237030011 0.177771096 0.142217293 
0.07939 0.711414695 0.355691877 0.237125447 0.177842353 0.142274786 
0.0793925 0.711697794 0.355835076 0.237220084 0.177913828 0.142331602 
0.079395 0.711982595 0.355976196 0.237314845 0.177984368 0.142388252 
0.0793975 0.712263001 0.356117613 0.237408376 0.178055224 0.142444746 
0.0794 0.712545494 0.356257862 0.237502348 0.178125063 0.142500564 
0.0794025 0.712823282 0.356396984 0.237594959 0.17819515 0.142556618 
0.079405 0.713101528 0.356536403 0.237688151 0.178264466 0.142611888 
0.0794075 0.713378496 0.356673801 0.237779883 0.178333456 0.142667482 
0.07941 0.713651697 0.356812153 0.237871679 0.178402425 0.142722216 
0.0794125 0.713926998 0.356948272 0.237963108 0.178470436 0.142777144 
0.079415 0.714197549 0.35708512 0.2380533 0.178538898 0.142831554 
0.0794175 0.714470434 0.357220364 0.238144116 0.178606274 0.142885575 
0.07942 0.714738995 0.357354927 0.238233472 0.178674134 0.142939714 
0.0794225 0.715007268 0.357489678 0.238323602 0.178740961 0.142993037 
0.079425 0.715275441 0.357622265 0.238412158 0.178807738 0.143046797 
0.0794275 0.715538999 0.357756132 0.238500918 0.178874398 0.143099636 
0.07943 0.715805651 0.357887582 0.238589295 0.178940036 0.143152764 
0.0794325 0.716067096 0.358019738 0.238676415 0.179006284 0.14320534 
0.079435 0.716329985 0.35815072 0.238764311 0.179071357 0.143257545 
0.0794375 0.716591009 0.358280466 0.238850625 0.179136929 0.143309934 
0.07944 0.716848796 0.358410999 0.238937716 0.179201628 0.143361434 
0.0794425 0.717108997 0.358539126 0.239023488 0.179266061 0.143413505 
0.079445 0.717363944 0.358668677 0.239109072 0.179330631 0.143464573 
0.0794475 0.717621204 0.358795957 0.239194751 0.179394061 0.143515858 
0.07945 0.71787548 0.358923257 0.239278891 0.179458273 0.143566882 
0.0794525 0.718127783 0.359050577 0.239364123 0.179521201 0.143617172 
0.079455 0.718381855 0.359175517 0.239447616 0.179584429 0.143667991 
0.0794575 0.7186306 0.359302243 0.239531541 0.179647352 0.143717806 
0.07946 0.718882134 0.359426273 0.23961505 0.179709323 0.143768069 
0.0794625 0.719130295 0.359550963 0.239697287 0.179772023 0.143817714 
0.079465 0.719376907 0.359675166 0.239780526 0.179833423 0.143867036 
0.0794675 0.719625234 0.359797265 0.239862002 0.17989535 0.143916635 
0.07947 0.71986809 0.359921092 0.239944164 0.179956653 0.143965239 
0.0794725 0.720113817 0.360042166 0.240025579 0.180017364 0.144014454 
0.079475 0.720356478 0.36016413 0.240106093 0.180078604 0.144062838 
0.0794775 0.720597206 0.360285397 0.240187422 0.180138534 0.144111142 
0.07948 0.720840157 0.360404784 0.240266963 0.180199129 0.144159595 
0.0794825 0.721077426 0.360525855 0.240347324 0.180258958 0.144207042 
0.079485 0.721317275 0.360644105 0.24042684 0.180318352 0.14425519 
0.0794875 0.721555021 0.360763295 0.240505558 0.180378221 0.144302429 
0.07949 0.721789685 0.360881913 0.240585093 0.18043675 0.144349672 
0.0794925 0.722027613 0.360998487 0.24066279 0.18049599 0.14439705 
0.079495 0.722259592 0.361116975 0.240741319 0.180554486 0.144443395 
0.0794975 0.722493507 0.361232541 0.240819124 0.180612512 0.144490457 
0.0795 0.722726907 0.361348918 0.240895978 0.180671094 0.144536663 
0.0795025 0.722955386 0.361465172 0.240973831 0.180728288 0.144582804 
0.079505 0.723187772 0.361578856 0.241049774 0.18078615 0.144629174 
0.0795075 0.723415471 0.361694585 0.241126444 0.18084345 0.144674467 
0.07951 0.723643154 0.361807895 0.241202718 0.180900059 0.144720426 
0.0795125 0.723872226 0.361921321 0.241277649 0.180957434 0.144765706 
0.079515 0.724095445 0.362035271 0.241353863 0.181013358 0.144810705 
0.0795175 0.724321835 0.362146404 0.241428195 0.181069822 0.14485613 
0.07952 0.724545993 0.362259255 0.241502962 0.181126057 0.14490042 
0.0795225 0.724767208 0.362370596 0.241577844 0.181181208 0.144945259 
